threshold,summary_floor,chunk_n,merge_n,floor_applied_n,Chunk_num_mean,Text_len_mean,Text_len_std,Summary_len_mean,Summary_len_std,Red_mean,Red_std,FirmRed_mean,FirmRed_std,loss,chunk_n_diff
1900,0,8641,265,0,17.154843189445668,3909.697488716584,329.9156319683448,134.4149982640898,36.245452805836386,31.042092859288868,8.896880132765947,29.089823721294763,2.265208557371326,0.06291947413854633,-42
2000,50,8624,282,12,17.12708719851577,3917.404452690167,329.95161373925765,134.6873840445269,36.89492743693683,31.048134202247876,8.78966249432215,29.088519803420137,2.264135526772826,0.06295691289886265,-59
1800,0,8659,247,0,17.183854948608385,3901.570158216884,331.2823569327018,134.13558147592101,35.60151825451706,31.021047730788176,8.912398476083556,29.089823721294763,2.265208557371326,0.06329025935491814,-24
1800,30,8659,247,0,17.183854948608385,3901.570158216884,331.2823569327018,134.13558147592101,35.60151825451706,31.021047730788176,8.912398476083556,29.089823721294763,2.265208557371326,0.06329025935491814,-24
1700,0,8679,227,0,17.220532319391634,3892.579329415831,335.40357529928326,133.8264777048047,34.72452197365836,30.994458420114306,8.933460703695703,29.089823721294763,2.265208557371326,0.06330741018411896,-4
1700,30,8679,227,0,17.220532319391634,3892.579329415831,335.40357529928326,133.8264777048047,34.72452197365836,30.994458420114306,8.933460703695703,29.089823721294763,2.265208557371326,0.06330741018411896,-4
1600,50,8699,207,12,17.253822278422806,3883.6298425106334,342.09510780443804,133.52615243131393,34.02291303242549,30.955996741464162,8.86179749137396,29.088519803420137,2.264135526772826,0.06339367323757833,16
2500,60,8551,355,84,17.003976143141152,3950.8473862706114,361.3499918214562,135.88586130277162,39.920319176013564,31.071624156509024,8.477738197844802,29.078609149323935,2.255622972838801,0.06372743997139152,-132
1500,50,8706,200,12,17.262577532736046,3880.5072363886975,345.77513984407284,133.41879163795085,33.80628853961106,30.946897063078108,8.8687776965732,29.088519803420137,2.264135526772826,0.06381819022722947,23
1900,50,8641,265,12,17.154843189445668,3909.697488716584,329.9156319683448,134.42240481425762,36.22729528811287,31.02773404722694,8.803700906689093,29.088519803420137,2.264135526772826,0.06384612036960823,-42
1800,50,8659,247,12,17.183854948608385,3901.570158216884,331.2823569327018,134.1429726296339,35.58312863768032,31.006718767278866,8.819543432375871,29.088519803420137,2.264135526772826,0.06421462239501093,-24
1700,50,8679,227,12,17.220532319391634,3892.579329415831,335.40357529928326,133.83385182624727,34.70577681402917,30.98016247645407,8.840998512790774,29.088519803420137,2.264135526772826,0.06422920459300027,-4
2100,60,8614,292,84,17.11585790573485,3921.9521708846064,331.6108099575002,134.8920362201068,37.231265650767924,31.00127678608997,8.51908293031283,29.078609149323935,2.255622972838801,0.06481753757732346,-69
2000,60,8624,282,84,17.12708719851577,3917.404452690167,329.95161373925765,134.73562152133582,36.79255217774246,30.989003727106688,8.527005546648352,29.078609149323935,2.255622972838801,0.06596379757965483,-59
1400,30,8719,187,0,17.279160454180527,3874.721413006079,352.8900839761363,133.212524372061,33.25812551292492,30.941490582809728,8.977267301541355,29.089823721294763,2.265208557371326,0.06607770035031751,36
1400,0,8719,187,0,17.279160454180527,3874.721413006079,352.8900839761363,133.212524372061,33.25812551292492,30.941490582809728,8.977267301541355,29.089823721294763,2.265208557371326,0.06607770035031751,36
1600,60,8699,207,84,17.253822278422806,3883.6298425106334,342.09510780443804,133.5739740200023,33.91446565144246,30.897376070396504,8.602996966427309,29.078609149323935,2.255622972838801,0.06638108502855934,16
1500,60,8706,200,84,17.262577532736046,3880.5072363886975,345.77513984407284,133.46657477601653,33.69738419663397,30.888323525561738,8.610336294597515,29.078609149323935,2.255622972838801,0.06680351650509589,23
1900,60,8641,265,84,17.154843189445668,3909.697488716584,329.9156319683448,134.47054739034834,36.12358666066289,30.968719903306376,8.54185896401847,29.078609149323935,2.255622972838801,0.06684898398653252,-42
1400,50,8719,187,12,17.279160454180527,3874.721413006079,352.8900839761363,133.21986466337881,33.238778806465106,30.927260224393947,8.885600518911179,29.088519803420137,2.264135526772826,0.06699400033469416,36
1800,60,8659,247,84,17.183854948608385,3901.570158216884,331.2823569327018,134.19101512876776,35.47813537576257,30.947827299717073,8.558593655614795,29.078609149323935,2.255622972838801,0.06721266071065776,-24
1700,60,8679,227,84,17.220532319391634,3892.579329415831,335.40357529928326,133.88178361562393,34.598798065956764,30.92140671915282,8.58112882778725,29.078609149323935,2.255622972838801,0.06722253311510537,-4
2300,70,8584,322,203,17.06314072693383,3935.65890027959,341.7447238525019,135.53984156570363,38.20380840748907,30.874608807836044,7.925032417189078,29.040808110443027,2.2248328693617845,0.06762482560156802,-99
2400,70,8571,335,203,17.041302065103256,3941.628281414071,348.43114825798943,135.74542060436355,38.71985447321467,30.88780098508412,7.9166658408463535,29.040808110443027,2.2248328693617845,0.06764335850715544,-112
1300,30,8732,174,0,17.302565277141547,3868.952817224004,361.56125152600424,133.0142006413193,32.66588676213705,30.921115857685447,8.996664618933119,29.089823721294763,2.265208557371326,0.0697121350453653,49
1300,0,8732,174,0,17.302565277141547,3868.952817224004,361.56125152600424,133.0142006413193,32.66588676213705,30.921115857685447,8.996664618933119,29.089823721294763,2.265208557371326,0.0697121350453653,49
1400,60,8719,187,84,17.279160454180527,3874.721413006079,352.8900839761363,133.2675765569446,33.12846093005254,30.868774019827192,8.627920596804183,29.078609149323935,2.255622972838801,0.06997607182607204,36
2200,70,8598,308,203,17.087229588276344,3929.2505233775296,335.9694616538375,135.31914398697373,37.62223267436355,30.860105464772133,7.937291426680891,29.040808110443027,2.2248328693617845,0.07008471969614287,-85
2500,70,8551,355,203,17.003976143141152,3950.8473862706114,361.3499918214562,136.06291661793944,39.60691674318643,30.90993516977556,7.904524575490661,29.040808110443027,2.2248328693617845,0.07011286013233031,-132
1300,50,8732,174,12,17.302565277141547,3868.952817224004,361.56125152600424,133.02153000458085,32.646262955809476,30.906906685098736,8.905301898997905,29.088519803420137,2.264135526772826,0.07062646705337003,49
