sec_code,sec_name,year,raw_glm4_tokens,dewrap_join_glm4_tokens,dewrap_space_glm4_tokens,dewrap_join_compact_chars
688693,锴威特,2023,56510,50357,52963,75503
688591,泰凌微,2023,54045,48904,51565,79138
688549,中巨芯,2023,57729,51186,54168,76741
688702,盛科通信,2023,51485,45980,48586,75299
688716,中研股份,2023,79754,70069,74619,106636
688719,爱科赛博,2023,69898,61181,65451,97903
688657,浩辰软件,2023,61606,54195,57576,86493
688648,中邮科技,2023,48039,42795,45419,69793
688653,康希通信,2023,40543,35416,37633,55746
688652,京仪装备,2023,45363,39522,42023,62410
688720,艾森股份,2023,57188,50272,53333,74471
688717,艾罗能源,2023,73639,64971,68909,100025
